"World Palm Oil Import (Million Tonnes)"
Period,World
2010,37201
2011,38738
2012,41228
2013,44088
2014,44327
2015,48048
2016,44829
2017,50299
2018,51546
2019,55321
2020,50213
2021,51172
2022,50602
2023,51635
2024,46857
