"World CPO and Processed Palm Oil Export (Million Tonnes)"
Period,World
2010,36487
2011,39096
2012,40636
2013,43816
2014,44448
2015,48761
2016,44393
2017,51099
2018,52532
2019,55103
2020,50833
2021,50387
2022,50602
2023,51254
2024,47769
