"World Consumption of Palm Oil (Million Tonnes)"
Period,World
2010,46524
2011,48766
2012,52580
2013,57938
2014,55530
2015,57772
2016,60712
2017,66385
2018,71703
2019,79006
2020,76071
2021,77155
2022,76217
2023,81707
2024,79252
