"World CPO Production (Million Tonnes)"
Period,World
2010,46245
2011,50957
2012,53882
2013,56834
2014,60168
2015,63073
2016,60057
2017,69638
2018,74819
2019,77152
2020,75478
2021,76615
2022,79411
2023,81707
2024,79252
